t_mono,position1,position2,position3,position4,position5,position6,position7,speed1,speed2,speed3,speed4,speed5,speed6,speed7,current1,current2,current3,current4,current5,current6,current7,voltage1,voltage2,voltage3,voltage4,voltage5,voltage6,voltage7,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,en1,en2,en3,en4,en5,en6,en7,err1,err2,err3,err4,err5,err6,err7,lift_height,lift_pos,lift_current,lift_err,lift_en,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,arm_status
0.435301,5.756000,-104.238998,-4.619000,81.225998,11.094000,96.019997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-147.000000,-296.000000,-5.000000,-3142.000000,318.000000,-72.000000,191.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,710,0,1,0.443892,0.026904,-0.043821,-3.039000,-0.410000,0.500000,0
0.445134,5.755000,-104.236000,-4.622000,81.225998,11.094000,96.019997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-149.000000,-293.000000,-1.000000,-3136.000000,316.000000,-67.000000,195.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443890,0.026896,-0.043832,-3.039000,-0.410000,0.500000,0
0.455148,5.755000,-104.237999,-4.621000,81.226997,11.093000,96.016998,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-147.000000,-297.000000,-3.000000,-3142.000000,320.000000,-71.000000,207.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443902,0.026890,-0.043831,-3.039000,-0.410000,0.500000,0
0.465060,5.754000,-104.241997,-4.621000,81.226997,11.094000,96.018997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-141.000000,-288.000000,18.000000,-3143.000000,313.000000,-70.000000,194.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,707,0,1,0.443895,0.026898,-0.043817,-3.039000,-0.410000,0.500000,0
0.475099,5.756000,-104.238998,-4.621000,81.223999,11.093000,96.018997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-142.000000,-291.000000,16.000000,-3142.000000,323.000000,-72.000000,207.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443907,0.026890,-0.043815,-3.039000,-0.410000,0.500000,0
0.485140,5.755000,-104.237999,-4.618000,81.223999,11.094000,96.018997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-145.000000,-294.000000,15.000000,-3143.000000,319.000000,-70.000000,210.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443905,0.026907,-0.043818,-3.039000,-0.410000,0.500000,0
0.496127,5.756000,-104.237999,-4.621000,81.226997,11.096000,96.018997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-135.000000,-291.000000,12.000000,-3132.000000,313.000000,-71.000000,204.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,708,0,1,0.443893,0.026910,-0.043829,-3.039000,-0.410000,0.500000,0
0.506086,5.756000,-104.238998,-4.619000,81.225998,11.094000,96.018997,147.371002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240000,-141.000000,-293.000000,6.000000,-3147.000000,317.000000,-69.000000,202.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443899,0.026906,-0.043819,-3.039000,-0.410000,0.500000,0
0.516088,5.755000,-104.237999,-4.619000,81.226997,11.093000,96.019997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-141.000000,-292.000000,6.000000,-3146.000000,314.000000,-65.000000,202.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,708,0,1,0.443882,0.026897,-0.043834,-3.039000,-0.410000,0.500000,0
0.526110,5.756000,-104.237999,-4.619000,81.227997,11.094000,96.019997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240000,-140.000000,-292.000000,18.000000,-3160.000000,316.000000,-73.000000,210.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,710,0,1,0.443877,0.026907,-0.043838,-3.039000,-0.410000,0.500000,0
0.536156,5.754000,-104.240997,-4.619000,81.230003,11.094000,96.018997,147.371002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-135.000000,-293.000000,2.000000,-3147.000000,315.000000,-71.000000,207.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,707,0,1,0.443879,0.026907,-0.043834,-3.039000,-0.410000,0.500000,0
0.546324,5.755000,-104.238998,-4.621000,81.226997,11.094000,96.016998,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-137.000000,-287.000000,15.000000,-3153.000000,311.000000,-64.000000,197.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,708,0,1,0.443904,0.026898,-0.043825,-3.039000,-0.410000,0.500000,0
0.556103,5.756000,-104.238998,-4.621000,81.225998,11.094000,96.019997,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-132.000000,-288.000000,25.000000,-3149.000000,316.000000,-67.000000,198.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,708,0,1,0.443893,0.026898,-0.043821,-3.039000,-0.410000,0.500000,0
0.566206,5.755000,-104.240997,-4.621000,81.230003,11.093000,96.018997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-130.000000,-293.000000,17.000000,-3158.000000,317.000000,-72.000000,204.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,708,0,1,0.443880,0.026894,-0.043836,-3.039000,-0.410000,0.500000,0
0.576172,5.755000,-104.237999,-4.619000,81.227997,11.093000,96.018997,147.369995,0.000000,0.000000,0.000000,0.120000,0.000000,0.000000,0.000000,-133.000000,-293.000000,4.000000,-3141.000000,313.000000,-67.000000,198.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,708,0,1,0.443884,0.026898,-0.043839,-3.039000,-0.410000,0.500000,0
0.586133,5.756000,-104.237999,-4.619000,81.225998,11.094000,96.015999,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-132.000000,-293.000000,26.000000,-3155.000000,314.000000,-72.000000,196.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443917,0.026903,-0.043820,-3.039000,-0.410000,0.500000,0
0.596223,5.755000,-104.237999,-4.621000,81.226997,11.093000,96.015999,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,-133.000000,-292.000000,31.000000,-3166.000000,322.000000,-62.000000,204.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,709,0,1,0.443910,0.026890,-0.043830,-3.039000,-0.410000,0.500000,0
0.606264,5.755000,-104.240997,-4.621000,81.227997,11.096000,96.018997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240000,-132.000000,-288.000000,16.000000,-3178.000000,317.000000,-66.000000,206.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,708,0,1,0.443888,0.026909,-0.043826,-3.039000,-0.410000,0.500000,0
0.616241,5.755000,-104.238998,-4.619000,81.226997,11.093000,96.018997,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-132.000000,-290.000000,47.000000,-3149.000000,313.000000,-68.000000,209.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,708,0,1,0.443893,0.026894,-0.043828,-3.039000,-0.410000,0.500000,0
0.626158,5.754000,-104.238998,-4.619000,81.226997,11.094000,96.018997,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-130.000000,-289.000000,25.000000,-3165.000000,320.000000,-68.000000,201.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,708,0,1,0.443894,0.026902,-0.043827,-3.039000,-0.410000,0.500000,0
0.636173,5.756000,-104.238998,-4.619000,81.226997,11.096000,96.019997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-133.000000,-289.000000,28.000000,-3170.000000,311.000000,-71.000000,199.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443884,0.026915,-0.043825,-3.039000,-0.410000,0.500000,0
0.646197,5.758000,-104.238998,-4.619000,81.227997,11.096000,96.019997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-133.000000,-288.000000,27.000000,-3166.000000,306.000000,-64.000000,197.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.356934,707,0,1,0.443877,0.026918,-0.043830,-3.039000,-0.410000,0.500000,0
0.656254,5.756000,-104.238998,-4.621000,81.226997,11.094000,96.018997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-132.000000,-283.000000,8.000000,-3186.000000,312.000000,-73.000000,204.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,707,0,1,0.443893,0.026901,-0.043826,-3.039000,-0.410000,0.500000,0
0.666266,5.755000,-104.241997,-4.621000,81.226997,11.094000,96.023003,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-131.000000,-287.000000,37.000000,-3179.000000,315.000000,-65.000000,205.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443869,0.026900,-0.043822,-3.039000,-0.410000,0.500000,0
0.676128,5.754000,-104.238998,-4.621000,81.225998,11.093000,96.018997,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-131.000000,-287.000000,17.000000,-3168.000000,306.000000,-71.000000,207.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443901,0.026887,-0.043822,-3.039000,-0.410000,0.500000,0
0.686090,5.756000,-104.237999,-4.619000,81.226997,11.094000,96.016998,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240000,-133.000000,-288.000000,12.000000,-3180.000000,317.000000,-69.000000,198.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443901,0.026905,-0.043829,-3.039000,-0.410000,0.500000,0
0.696373,5.755000,-104.240997,-4.621000,81.225998,11.093000,96.018997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-131.000000,-284.000000,38.000000,-3181.000000,310.000000,-68.000000,215.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,708,0,1,0.443901,0.026889,-0.043817,-3.039000,-0.410000,0.500000,0
0.706194,5.755000,-104.238998,-4.621000,81.227997,11.093000,96.018997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-146.000000,-286.000000,7.000000,-3174.000000,313.000000,-65.000000,209.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.356934,709,0,1,0.443886,0.026892,-0.043834,-3.039000,-0.410000,0.500000,0
0.716156,5.756000,-104.237999,-4.619000,81.225998,11.094000,96.016998,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-142.000000,-287.000000,30.000000,-3157.000000,319.000000,-65.000000,206.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,708,0,1,0.443909,0.026902,-0.043822,-3.039000,-0.410000,0.500000,0
0.726156,5.755000,-104.237999,-4.619000,81.226997,11.094000,96.018997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-142.000000,-284.000000,9.000000,-3160.000000,314.000000,-67.000000,210.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.356934,709,0,1,0.443892,0.026904,-0.043831,-3.039000,-0.410000,0.500000,0
0.736133,5.755000,-104.238998,-4.621000,81.226997,11.094000,96.018997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-140.000000,-290.000000,22.000000,-3182.000000,311.000000,-64.000000,211.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,709,0,1,0.443893,0.026900,-0.043826,-3.039000,-0.410000,0.500000,0
0.746117,5.756000,-104.237999,-4.619000,81.227997,11.093000,96.016998,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,-137.000000,-287.000000,8.000000,-3179.000000,304.000000,-73.000000,207.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.356934,709,0,1,0.443894,0.026898,-0.043836,-3.039000,-0.410000,0.500000,0
0.756143,5.754000,-104.238998,-4.621000,81.227997,11.094000,96.018997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-152.000000,-288.000000,10.000000,-3171.000000,313.000000,-64.000000,205.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443887,0.026899,-0.043833,-3.039000,-0.410000,0.500000,0
0.766107,5.756000,-104.237999,-4.621000,81.226997,11.094000,96.019997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-148.000000,-289.000000,23.000000,-3171.000000,308.000000,-68.000000,207.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,707,0,1,0.443884,0.026901,-0.043832,-3.039000,-0.410000,0.500000,0
0.776182,5.755000,-104.236000,-4.621000,81.226997,11.094000,96.018997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240000,-146.000000,-297.000000,-5.000000,-3178.000000,305.000000,-67.000000,198.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,708,0,1,0.443890,0.026901,-0.043836,-3.039000,-0.410000,0.500000,0
0.786153,5.754000,-104.238998,-4.619000,81.227997,11.094000,96.016998,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-153.000000,-297.000000,-1.000000,-3155.000000,302.000000,-67.000000,214.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.356934,709,0,1,0.443896,0.026902,-0.043831,-3.039000,-0.410000,0.500000,0
0.796192,5.755000,-104.237999,-4.621000,81.226997,11.094000,96.019997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-159.000000,-300.000000,15.000000,-3157.000000,312.000000,-60.000000,201.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443884,0.026900,-0.043833,-3.039000,-0.410000,0.500000,0
0.806188,5.754000,-104.237999,-4.618000,81.227997,11.093000,96.019997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-168.000000,-299.000000,6.000000,-3162.000000,308.000000,-69.000000,207.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443875,0.026902,-0.043841,-3.039000,-0.410000,0.500000,0
0.816265,5.755000,-104.236000,-4.619000,81.226997,11.094000,96.019997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240000,-163.000000,-295.000000,20.000000,-3158.000000,308.000000,-66.000000,202.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443881,0.026906,-0.043837,-3.039000,-0.410000,0.500000,0
0.826161,5.755000,-104.240997,-4.621000,81.226997,11.094000,96.019997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,-155.000000,-293.000000,54.000000,-3177.000000,303.000000,-62.000000,210.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,707,0,1,0.443886,0.026899,-0.043823,-3.039000,-0.410000,0.500000,0
0.836192,5.758000,-104.238998,-4.619000,81.226997,11.094000,96.018997,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-155.000000,-297.000000,11.000000,-3176.000000,306.000000,-64.000000,206.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,706,0,1,0.443894,0.026905,-0.043825,-3.039000,-0.410000,0.500000,0
0.846185,5.755000,-104.238998,-4.619000,81.225998,11.094000,96.016998,147.371002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-156.000000,-294.000000,18.000000,-3158.000000,304.000000,-63.000000,203.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,709,0,1,0.443908,0.026904,-0.043818,-3.039000,-0.410000,0.500000,0
0.856098,5.755000,-104.237999,-4.621000,81.227997,11.092000,96.018997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-156.000000,-294.000000,3.000000,-3170.000000,306.000000,-63.000000,201.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.356934,710,0,1,0.443885,0.026884,-0.043841,-3.039000,-0.410000,0.500000,0
0.866156,5.755000,-104.238998,-4.618000,81.230003,11.093000,96.019997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-156.000000,-295.000000,21.000000,-3169.000000,312.000000,-69.000000,200.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,707,0,1,0.443870,0.026903,-0.043841,-3.039000,-0.410000,0.500000,0
0.876126,5.755000,-104.238998,-4.619000,81.227997,11.094000,96.019997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-153.000000,-294.000000,11.000000,-3177.000000,306.000000,-66.000000,199.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,708,0,1,0.443878,0.026905,-0.043833,-3.039000,-0.410000,0.500000,0
0.886129,5.755000,-104.241997,-4.619000,81.226997,11.093000,96.019997,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-150.000000,-293.000000,0.000000,-3176.000000,308.000000,-67.000000,195.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,709,0,1,0.443886,0.026895,-0.043820,-3.039000,-0.410000,0.500000,0
0.896214,5.751000,-104.238998,-4.621000,81.227997,11.092000,96.018997,147.371002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-151.000000,-291.000000,23.000000,-3171.000000,305.000000,-66.000000,199.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,708,0,1,0.443885,0.026882,-0.043838,-3.039000,-0.410000,0.500000,0
0.906159,5.756000,-104.238998,-4.621000,81.227997,11.094000,96.016998,147.369003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-141.000000,-294.000000,21.000000,-3169.000000,311.000000,-63.000000,195.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,708,0,1,0.443896,0.026901,-0.043830,-3.039000,-0.410000,0.500000,0
0.916193,5.755000,-104.237999,-4.621000,81.226997,11.093000,96.018997,147.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-149.000000,-299.000000,31.000000,-3169.000000,310.000000,-66.000000,195.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.356934,708,0,1,0.443893,0.026890,-0.043833,-3.039000,-0.410000,0.500000,0
0.926160,5.756000,-104.238998,-4.619000,81.227997,11.093000,96.019997,147.365997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-150.000000,-296.000000,0.000000,-3173.000000,310.000000,-65.000000,204.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.358887,707,0,1,0.443879,0.026896,-0.043835,-3.039000,-0.410000,0.500000,0
0.936221,5.754000,-104.237999,-4.619000,81.226997,11.093000,96.018997,147.369995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-151.000000,-300.000000,34.000000,-3159.000000,323.000000,-65.000000,207.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,708,0,1,0.443891,0.026896,-0.043833,-3.039000,-0.410000,0.500000,0
0.946175,5.756000,-104.237999,-4.621000,81.225998,11.096000,96.016998,147.369003,0.000000,-0.120000,0.000000,0.000000,0.000000,0.000000,0.240000,-162.000000,-299.000000,38.000000,-3172.000000,306.000000,-65.000000,212.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,34.000000,34.000000,35.000000,36.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5387.359863,709,0,1,0.443909,0.026908,-0.043821,-3.039000,-0.410000,0.500000,0
